bikes,year,month,day,hourfrom,dayofyear
16,2020,1,23,5,23
77,2020,1,23,6,23
229,2020,1,23,7,23
200,2020,1,23,8,23
91,2020,1,23,9,23
55,2020,1,23,10,23
78,2020,1,23,11,23
88,2020,1,23,12,23
101,2020,1,23,13,23
81,2020,1,23,14,23
92,2020,1,23,15,23
157,2020,1,23,16,23
185,2020,1,23,17,23
151,2020,1,23,18,23
80,2020,1,23,19,23
54,2020,1,23,20,23
32,2020,1,23,21,23
25,2020,1,23,22,23
9,2020,1,23,23,23
5,2020,1,24,0,24
5,2020,1,24,1,24
2,2020,1,24,2,24
1,2020,1,24,3,24
4,2020,1,24,4,24
18,2020,1,24,5,24
66,2020,1,24,6,24
209,2020,1,24,7,24
180,2020,1,24,8,24
100,2020,1,24,9,24
72,2020,1,24,10,24
92,2020,1,24,11,24
123,2020,1,24,12,24
77,2020,1,24,13,24
77,2020,1,24,14,24
94,2020,1,24,15,24
137,2020,1,24,16,24
154,2020,1,24,17,24
90,2020,1,24,18,24
64,2020,1,24,19,24
31,2020,1,24,20,24
28,2020,1,24,21,24
35,2020,1,24,22,24
16,2020,1,24,23,24
12,2020,1,25,0,25
11,2020,1,25,1,25
7,2020,1,25,2,25
2,2020,1,25,3,25
7,2020,1,25,4,25
6,2020,1,25,5,25
21,2020,1,25,6,25
19,2020,1,25,7,25
41,2020,1,25,8,25
49,2020,1,25,9,25
51,2020,1,25,10,25
31,2020,1,25,11,25
55,2020,1,25,12,25
89,2020,1,25,13,25
78,2020,1,25,14,25
57,2020,1,25,15,25
67,2020,1,25,16,25
47,2020,1,25,17,25
40,2020,1,25,18,25
30,2020,1,25,19,25
21,2020,1,25,20,25
16,2020,1,25,21,25
18,2020,1,25,22,25
14,2020,1,25,23,25
11,2020,1,26,0,26
17,2020,1,26,1,26
3,2020,1,26,2,26
5,2020,1,26,3,26
3,2020,1,26,4,26
3,2020,1,26,5,26
16,2020,1,26,6,26
11,2020,1,26,7,26
22,2020,1,26,8,26
20,2020,1,26,9,26
26,2020,1,26,10,26
34,2020,1,26,11,26
36,2020,1,26,12,26
56,2020,1,26,13,26
33,2020,1,26,14,26
31,2020,1,26,15,26
37,2020,1,26,16,26
43,2020,1,26,17,26
20,2020,1,26,18,26
15,2020,1,26,19,26
25,2020,1,26,20,26
17,2020,1,26,21,26
11,2020,1,26,22,26
3,2020,1,26,23,26
2,2020,1,27,0,27
3,2020,1,27,1,27
0,2020,1,27,2,27
1,2020,1,27,3,27
1,2020,1,27,4,27
17,2020,1,27,5,27
91,2020,1,27,6,27
228,2020,1,27,7,27
203,2020,1,27,8,27
87,2020,1,27,9,27
50,2020,1,27,10,27
67,2020,1,27,11,27
91,2020,1,27,12,27
127,2020,1,27,13,27
86,2020,1,27,14,27
93,2020,1,27,15,27
132,2020,1,27,16,27
190,2020,1,27,17,27
113,2020,1,27,18,27
95,2020,1,27,19,27
41,2020,1,27,20,27
31,2020,1,27,21,27
29,2020,1,27,22,27
4,2020,1,27,23,27
7,2020,1,28,0,28
1,2020,1,28,1,28
2,2020,1,28,2,28
0,2020,1,28,3,28
6,2020,1,28,4,28
20,2020,1,28,5,28
87,2020,1,28,6,28
229,2020,1,28,7,28
183,2020,1,28,8,28
64,2020,1,28,9,28
51,2020,1,28,10,28
54,2020,1,28,11,28
87,2020,1,28,12,28
87,2020,1,28,13,28
71,2020,1,28,14,28
81,2020,1,28,15,28
113,2020,1,28,16,28
138,2020,1,28,17,28
132,2020,1,28,18,28
78,2020,1,28,19,28
41,2020,1,28,20,28
22,2020,1,28,21,28
25,2020,1,28,22,28
7,2020,1,28,23,28
4,2020,1,29,0,29
4,2020,1,29,1,29
