day,category,passengers,flights
2022-10-26,Passagierverkehr,19391,177
2022-10-25,Passagierverkehr,21112,193
2022-10-25,Fracht Express,0,18
2022-10-22,Passagierverkehr,26314,183
2022-10-22,Fracht Cargo,0,4
2022-10-21,Passagierverkehr,21510,165
2022-10-20,Fracht Express,0,18
2022-10-19,Fracht Express,0,20
2022-10-18,Andere Kategorien,9,78
2022-10-16,Fracht Express,0,
2022-10-16,Andere Kategorien,9,65
2022-10-15,Passagierverkehr,26557,196
2022-10-15,Fracht Express,0,2
2022-10-14,Andere Kategorien,8,92
2022-10-13,Fracht Cargo,0,
2022-10-11,Passagierverkehr,22940,184
2022-10-10,Fracht Express,0,15
2022-10-09,Passagierverkehr,29537,211
2022-10-09,Andere Kategorien,15,49
2022-10-08,Fracht Express,0,2
2022-10-08,Fracht Cargo,0,4
2022-10-07,Passagierverkehr,25087,201
2022-10-07,Fracht Express,0,11
2022-10-07,Fracht Cargo,0,3
2022-10-06,Fracht Cargo,0,1
2022-10-05,Fracht Cargo,0,4
2022-10-04,Passagierverkehr,21951,182
2022-10-04,Fracht Express,0,18
2022-10-03,Fracht Cargo,0,2
2022-10-02,Andere Kategorien,4,13
2022-09-30,Fracht Express,0,11
2022-09-30,Fracht Cargo,0,2
2022-09-29,Passagierverkehr,22481,203
2022-09-29,Fracht Express,0,20
2022-09-28,Passagierverkehr,19867,182
2022-09-28,Andere Kategorien,7,17
2022-09-27,Passagierverkehr,20900,191
2022-09-27,Fracht Express,0,18
2022-09-25,Fracht Cargo,0,
2022-09-25,Andere Kategorien,9,11
2022-09-24,Passagierverkehr,25571,187
2022-09-24,Fracht Express,0,2
2022-09-23,Fracht Cargo,0,
2022-09-23,Andere Kategorien,9,68
2022-09-22,Fracht Cargo,0,
2022-09-21,Fracht Express,0,20
2022-09-20,Passagierverkehr,21405,182
2022-09-20,Fracht Cargo,0,
2022-09-19,Passagierverkehr,22295,190
2022-09-19,Fracht Cargo,0,2
2022-09-18,Fracht Express,0,
2022-09-18,Andere Kategorien,12,56
2022-09-17,Fracht Cargo,0,6
2022-09-17,Andere Kategorien,5,48
2022-09-16,Passagierverkehr,17575,129
2022-09-16,Andere Kategorien,5,19
2022-09-13,Fracht Express,0,18
2022-09-13,Fracht Cargo,0,
2022-09-13,Andere Kategorien,13,85
2022-09-12,Passagierverkehr,23241,201
2022-09-12,Fracht Express,0,15
2022-09-12,Fracht Cargo,0,2
2022-09-12,Andere Kategorien,6,81
2022-09-11,Passagierverkehr,26933,207
2022-09-11,Fracht Cargo,0,
2022-09-11,Andere Kategorien,21,70
2022-09-10,Fracht Express,0,2
2022-09-10,Andere Kategorien,0,29
2022-09-09,Passagierverkehr,25619,191
2022-09-09,Fracht Express,0,11
2022-09-09,Andere Kategorien,20,81
2022-09-08,Passagierverkehr,25652,199
2022-09-07,Passagierverkehr,20864,175
