tree_species,planting_date,tree_age_total,tree_age_planted,protection_status,location,tree_group,municipality
Krim-Linde,1960-09-22,72,63,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Krim-Linde,1960-09-22,72,63,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Eisenholzbaum,1982-03-16,-1,41,Geschützt (Umfang),Nord,Landschaftsgrün,Riehen
Japanische Zelkove,2016-03-16,16,7,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Berg-Ahorn,,-1,-99,Geschützt (Umfang),Nord,Verkehrsgrün / Strassenbäume,Riehen
Wald-Kiefer,2014-10-30,-1,9,Gemäss Baumschutzgesetz (BSchG),Süd,Schulen,Riehen
Wald-Kiefer,2001-11-26,30,21,Gemäss Baumschutzgesetz (BSchG),Süd,Schulen,Riehen
Schwarzer Holunder,1960-04-23,72,63,Gemäss Baumschutzgesetz (BSchG),Süd,Schulen,Riehen
Blut-Buche,1970-04-30,62,53,Geschützt (Umfang),Nord,Parkgrün,Riehen
Stiel-Eiche,,-1,-99,Geschützt (Umfang),Nord,Naturschutzanlage,Riehen
Gemeine Rosskastanie,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Kultur-Apfel,2008-05-01,24,15,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Urweltmammutbaum,1950-11-12,-1,73,Geschützt (Umfang),Süd,Parkgrün,Riehen
Europäische Lärche,1959-09-12,-1,64,Geschützt (Umfang),Süd,Parkgrün,Riehen
Winter-Linde,1955-09-30,77,68,Geschützt (Umfang),Nord,Parkgrün,Riehen
Tränen-Kiefer,1950-04-04,82,73,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Kegelförmiger Spitz-Ahorn,1980-09-27,52,43,Geschützt (Umfang),Nord,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche Scheinakazie / Robinie,,88,79,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Berg-Ahorn,,73,64,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Echte Walnuss,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Eiche,,51,42,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Speierling,2022-03-22,10,1,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Schwarze Walnuss,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Hängebirke / Weiss- oder Sandbirke,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche oder Europäische Eibe,,-1,-99,Geschützt (Umfang),Süd,Schulen,Riehen
Winter-Linde,2000-11-22,31,22,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Blut-Buche,1920-09-14,112,103,Geschützt (Umfang),Nord,Parkgrün,Riehen
Japanische Zelkove,2016-03-16,16,7,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Gewöhnliche Fichte,1955-11-13,-1,68,Geschützt (Umfang),Nord,Parkgrün,Riehen
Zierapfel,1985-10-21,-1,38,Gemäss Baumschutzgesetz (BSchG),Süd,Schulen,Riehen
Gewöhnliche Scheinakazie / Robinie,1991-06-23,41,32,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Winter-Linde,1980-09-22,52,43,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Stiel-Eiche,2015-10-09,17,8,Gemäss Baumschutzgesetz (BSchG),Ost,Privatbäume gepflegt durch STG,Basel
Gewöhnliche Fichte,1998-05-01,34,25,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnliche oder Europäische Eibe,1975-09-27,57,48,Geschützt (Umfang),Nord,Parkgrün,Riehen
Winter-Linde,1980-03-20,-1,43,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Wald-Kiefer,2013-01-01,19,10,Geschützt (Ersatzpflanzung),West,Privatbäume gepflegt durch STG,Basel
Krim-Linde,,46,37,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,2009-04-01,23,14,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Stein-Weichsel,2008-11-13,24,15,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,1964-01-01,68,59,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,,81,72,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Winter-Linde,,67,58,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche oder Europäische Eibe,,67,58,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gefülltblühende Rosskastanie,1996-11-11,36,27,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Platane,1970-04-04,62,53,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Stiel-Eiche,1990-01-01,47,33,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Echte Walnuss,,46,37,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gewöhnliche Platane,1984-01-01,48,39,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Rot-Buche,2018-04-06,14,5,Geschützt (Ersatzpflanzung),West,Öffentliche Grünflächen,Basel
Zerr-Eiche,2022-10-26,10,1,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Spitz-Ahorn,1960-04-04,62,63,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gefülltblühende Rosskastanie,1960-03-01,73,63,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Kanada-Pappel,1970-01-01,62,53,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,1945-01-01,87,78,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Berg-Ahorn,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Zerr-Eiche,2008-04-18,24,15,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Stiel-Eiche,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Morgenländische Platane,2016-11-01,16,7,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Platane,,87,78,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Gemeine Rosskastanie,,52,43,Nicht geschützt (BL Waldzone etc.),Ost,Privatbäume gepflegt durch STG,Basel
Berg-Ahorn,,47,38,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Kolchischer Ahorn,1960-01-01,72,63,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Stiel-Eiche,,82,73,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Simons Pappel,2014-04-07,18,9,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Echte Walnuss,1950-01-01,87,73,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gemeine Rosskastanie,,97,88,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Winter-Linde,,50,36,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Spitz-Ahorn,,47,38,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Südlicher Zürgelbaum,2021-03-11,11,2,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Krim-Linde,,56,47,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Wald-Kiefer,,42,33,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Säulenförmiger Spitz-Ahorn,1996-03-01,36,27,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Schwedische Mehlbeere,2015-04-01,17,8,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Eisenholzbaum,2008-12-03,23,14,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Kornelkirsche,,26,17,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Privatbäume gepflegt durch STG,Basel
Säulenförmiger Spitz-Ahorn,2009-03-10,23,14,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Feld-Ahorn,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Krim-Linde,,56,47,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Wald-Kiefer,,47,38,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Samthaarige Stinkesche,2007-03-30,25,16,Geschützt (Ersatzpflanzung),Kleinbasel,Öffentliche Grünflächen,Basel
Japanischer Pagodenbaum,2006-11-07,26,17,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Mädchenhaarbaum / Ginkgo,2012-03-20,20,11,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
,2017-03-13,15,6,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Japanischer Pagodenbaum,1998-01-01,35,25,Geschützt (Ersatzpflanzung),Kleinbasel,Öffentliche Grünflächen,Basel
Stiel-Eiche,,101,92,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,2002-03-14,30,21,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Winter-Linde,1980-03-01,53,43,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,,41,32,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Dreilappiger Apfel,2018-03-19,14,5,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Wald-Kiefer,1950-01-01,82,73,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Osagedorn,,47,38,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Sommer-Linde,1940-01-01,92,83,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Schmalblättrige Purpur-Esche,1996-03-01,36,27,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Krim-Linde,,76,67,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Gewöhnliche Scheinakazie / Robinie,,42,33,Gemäss Baumschutzgesetz (BSchG),West,Privatbäume gepflegt durch STG,Basel
Gefülltblühende Rosskastanie,,92,83,Gemäss Baumschutzgesetz (BSchG),West,Privatbäume gepflegt durch STG,Basel
Gefülltblühende Rosskastanie,,51,42,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Krim-Linde,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Feld-Ahorn,2015-11-03,17,8,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Stein-Eiche,2010-03-10,22,13,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Vogel-Kirsche,2017-03-13,15,6,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Gefülltblühende Rosskastanie,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
"Gewöhnliche Esche ""Atlas""",2007-04-04,25,16,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Schwarzkiefer,,107,98,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Spitz-Ahorn,,70,61,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Pyramiden-Eiche,,42,33,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Krim-Linde,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Echte Pavie,2002-03-01,35,21,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Spitz-Ahorn,1984-01-01,48,39,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Spanischer Feld-Ahorn,2022-11-14,10,1,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Amerikanischer Geweihbaum,2017-10-30,15,6,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,87,78,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Krim-Linde,,28,19,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gemeine Rosskastanie,,87,78,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,1964-01-01,68,59,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,2001-11-01,32,22,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gefülltblühende Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Spitz-Ahorn,1950-04-04,82,73,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Krim-Linde,,62,53,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gemeine Rosskastanie,,96,87,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gefülltblühende Rosskastanie,,48,39,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,64,55,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Berg-Ahorn,1920-03-01,113,103,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Spitz-Ahorn,2009-10-15,23,14,Geschützt (Ersatzpflanzung),West,Schul- und Kindergartenareal,Basel
Baum-Hasel,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Privatbäume gepflegt durch STG,Basel
Stiel-Eiche,,101,92,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Ungarische Silber-Linde,,56,47,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Feld-Ahorn,,31,22,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Schwarzkiefer,,19,10,Geschützt (Umfang),Kleinbasel,Schul- und Kindergartenareal,Basel
Gemeine Rosskastanie,1940-03-01,93,83,Geschützt (Umfang),Kleinbasel,Schul- und Kindergartenareal,Basel
Japanischer Pagodenbaum,2006-01-01,26,17,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Spitz-Ahorn,1989-01-01,43,34,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Zerr-Eiche,2017-04-01,15,6,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Gewöhnliche oder Europäische Eibe,1980-01-01,52,43,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Säulenförmiger Spitz-Ahorn,1999-03-25,33,24,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Vogel-Kirsche,1980-01-01,52,43,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Silber-Ahorn,,57,48,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Amerikanische Linde,2000-04-18,32,23,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Schmalblättrige Purpur-Esche,2012-03-30,20,11,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,48,39,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
"Spitz-Ahorn ""Reitanbachii""",,56,47,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gemeine Rosskastanie,,70,61,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Europäische Hopfenbuche,2014-04-03,18,9,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Holländische Linde,1944-01-01,88,79,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Säulenförmiger Spitz-Ahorn,,42,33,Gemäss Baumschutzgesetz (BSchG),West,Privatbäume gepflegt durch STG,Basel
Gemeine Rosskastanie,,87,78,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Kultur-Apfel,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Krim-Linde,,50,41,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Kultur-Apfel,,32,23,Gemäss Baumschutzgesetz (BSchG),Ost,Schul- und Kindergartenareal,Basel
Gewöhnliche Hain- oder Weissbuche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Ungarische Silber-Linde,2011-11-04,21,12,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Gewöhnlicher Judasbaum,2004-11-10,28,19,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Hain- oder Weissbuche,,30,21,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Schwarzkiefer,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,,41,32,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Esche,1950-09-13,82,73,Geschützt (Umfang),Süd,Parkgrün,Riehen
Gewöhnliche Platane,1964-01-01,68,59,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gewöhnliche Scheinakazie / Robinie,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Hängebirke / Weiss- oder Sandbirke,2018-11-18,14,5,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Feld-Ahorn,,46,37,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Küstensequoia / Redwood,,87,78,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Schwarzkiefer,1970-09-13,62,53,Geschützt (Umfang),Süd,Parkgrün,Riehen
Kugel-Ahorn,1983-01-01,49,40,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Schwarz-Erle,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Krim-Linde,,36,27,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Schwarz-Erle,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
"Spitz-Ahorn ""Reitanbachii""",,56,47,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Hain- oder Weissbuche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Berg-Ahorn,1946-10-27,-1,77,Geschützt (Umfang),Nord,Parkgrün,Riehen
Gewöhnliche Hain- oder Weissbuche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Gefülltblühende Rosskastanie,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Krim-Linde,,56,47,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Feld-Ahorn,,71,62,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Rot-Buche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Schwarz-Erle,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Schwarz-Erle,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,2021-03-11,11,2,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Rot-Buche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Krim-Linde,,32,23,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gelbe Rosskastanie,,41,32,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Schwarzkiefer,,-1,-99,Geschützt (Umfang),Nord,Spiel- und Rastplätze,Riehen
Gefülltblühende Rosskastanie,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Hängebirke / Weiss- oder Sandbirke,2005-01-01,27,18,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
"Sommerapfel ""Nela""",2017-03-23,15,6,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Ungarische Silber-Linde,2022-11-14,10,1,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Stiel-Eiche,,41,32,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Cissusblättriger Ahorn,,47,38,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Amerikanischer Geweihbaum,2004-11-10,28,19,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Krim-Linde,,52,43,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gewöhnliche Platane,,76,67,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gemeine Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Feld-Ahorn,,-1,-99,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Pyramiden Pappel,,37,28,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Gewöhnliche Platane,,68,59,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
"Spitz-Ahorn ""Emerald Queen""",2003-10-31,29,20,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Gewöhnliche Platane,1944-01-01,88,79,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Feld-Ahorn,2010-11-10,22,13,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Amerikanischer Zürgelbaum,1950-01-01,87,73,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Gemeine Rosskastanie,,87,78,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Sumpfzypresse,2016-11-03,16,7,Geschützt (Ersatzpflanzung),West,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,1924-01-01,113,99,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,61,52,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Winter-Linde,1960-03-01,75,63,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Spitz-Ahorn,1950-03-01,82,73,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Krim-Linde,,42,33,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Winter-Linde/Stadt-Linde,2000-03-01,32,23,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Amerikanischer Zürgelbaum,2006-04-20,26,17,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,1944-01-01,88,79,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Schmalblättrige Purpur-Esche,2013-11-11,19,10,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Kanada-Pappel,1950-03-01,82,73,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Fichte,2006-12-12,25,16,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Feld-Ahorn,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Rotblühende Rosskastanie,1950-03-01,83,73,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Krim-Linde,,76,67,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Platane,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Feld-Ahorn,,-1,-99,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Säulen-Hainbuche,2014-03-20,18,9,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Kirsche / Sachalin-Kirsche,,30,21,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Zierapfel,2013-11-22,18,9,Geschützt (Ersatzpflanzung),West,Privatbäume gepflegt durch STG,Basel
Österreichische Schwarz-Kiefer,,67,58,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Gefülltblühende Rosskastanie,2002-01-01,30,21,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Schwarz-Erle,2018-03-22,14,5,Geschützt (Ersatzpflanzung),West,Öffentliche Grünflächen,Basel
Gefülltblühende Rosskastanie,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Hängebirke / Weiss- oder Sandbirke,,23,14,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Säulen-Eibe,1984-01-01,48,39,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,76,67,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Japanische Flügelnuss,2016-10-01,16,7,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Gemeine Rosskastanie,,46,37,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gewöhnliche Platane,,56,47,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
"Hybrid-Eibe ""Fastigiata""",1964-01-01,68,59,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
